time,source,target,value,direction
1525159937,0x8c1da19bd395ce3cd5b1046cdac8e01b689d992a,0xf4a2eff88a408ff4c4550148151c33c93442619e,1.0,1
1525160442,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x5f5fa025d9db0a3a26264bfa93aa27875111d9b1,0.0,0
1525168079,0x1eeb92cfdd8a6b27357a9fc329616654d101c2e3,0xf4a2eff88a408ff4c4550148151c33c93442619e,20.0,1
1525168189,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x5f5fa025d9db0a3a26264bfa93aa27875111d9b1,0.0,0
1525168447,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x5f5fa025d9db0a3a26264bfa93aa27875111d9b1,0.0,0
1525168581,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x5f5fa025d9db0a3a26264bfa93aa27875111d9b1,0.0,0
1525168685,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x5f5fa025d9db0a3a26264bfa93aa27875111d9b1,0.0,0
1525169012,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x5f5fa025d9db0a3a26264bfa93aa27875111d9b1,0.0,0
1525169155,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x5f5fa025d9db0a3a26264bfa93aa27875111d9b1,0.0,0
1525169235,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x5f5fa025d9db0a3a26264bfa93aa27875111d9b1,0.0,0
1525172241,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x5f5fa025d9db0a3a26264bfa93aa27875111d9b1,0.0,0
1525172424,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x5f5fa025d9db0a3a26264bfa93aa27875111d9b1,0.0,0
1525172480,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x5f5fa025d9db0a3a26264bfa93aa27875111d9b1,0.0,0
1525172596,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x5f5fa025d9db0a3a26264bfa93aa27875111d9b1,0.0,0
1525172748,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x5f5fa025d9db0a3a26264bfa93aa27875111d9b1,0.0,0
1525172839,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x5f5fa025d9db0a3a26264bfa93aa27875111d9b1,0.0,0
1525173241,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x2d25a4b31ec25894a917e26ae6783b126bd5ae74,0.00571,0
1525173346,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x2d25a4b31ec25894a917e26ae6783b126bd5ae74,0.00688,0
1525173607,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x2d25a4b31ec25894a917e26ae6783b126bd5ae74,0.00803,0
1525173776,0xf4a2eff88a408ff4c4550148151c33c93442619e,0xfc7c49913c5c29c329d95ae585cb4c8f8af0569e,0.00804,0
1525173886,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x2d25a4b31ec25894a917e26ae6783b126bd5ae74,0.00806,0
1525173921,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x2d25a4b31ec25894a917e26ae6783b126bd5ae74,0.0069,0
